Episode  10 : the agent has obtained an average reward of  -0.1  starting from position  [3, 9]
Episode  20 : the agent has obtained an average reward of  -0.08  starting from position  [9, 3]
Episode  30 : the agent has obtained an average reward of  -0.06  starting from position  [1, 2]
Episode  40 : the agent has obtained an average reward of  -0.04  starting from position  [5, 2]
Episode  50 : the agent has obtained an average reward of  -0.02  starting from position  [5, 8]
Episode  60 : the agent has obtained an average reward of  -0.08  starting from position  [7, 7]
Episode  70 : the agent has obtained an average reward of  -0.02  starting from position  [8, 5]
Episode  80 : the agent has obtained an average reward of  -0.08  starting from position  [7, 8]
Episode  90 : the agent has obtained an average reward of  -0.2  starting from position  [2, 0]
Episode  100 : the agent has obtained an average reward of  -0.02  starting from position  [1, 3]
Episode  110 : the agent has obtained an average reward of  -0.1  starting from position  [8, 9]
Episode  120 : the agent has obtained an average reward of  0.0  starting from position  [3, 0]
Episode  130 : the agent has obtained an average reward of  -0.24  starting from position  [9, 0]
Episode  140 : the agent has obtained an average reward of  0.0  starting from position  [6, 2]
Episode  150 : the agent has obtained an average reward of  -0.1  starting from position  [0, 1]
Episode  160 : the agent has obtained an average reward of  -0.26  starting from position  [8, 1]
Episode  170 : the agent has obtained an average reward of  -0.02  starting from position  [7, 8]
Episode  180 : the agent has obtained an average reward of  0.0  starting from position  [7, 5]
Episode  190 : the agent has obtained an average reward of  -0.04  starting from position  [3, 2]
Episode  200 : the agent has obtained an average reward of  -0.02  starting from position  [1, 6]
Episode  210 : the agent has obtained an average reward of  0.0  starting from position  [3, 8]
Episode  220 : the agent has obtained an average reward of  -0.04  starting from position  [5, 1]
Episode  230 : the agent has obtained an average reward of  -0.02  starting from position  [0, 3]
Episode  240 : the agent has obtained an average reward of  -0.04  starting from position  [8, 9]
Episode  250 : the agent has obtained an average reward of  -0.04  starting from position  [0, 7]
Episode  260 : the agent has obtained an average reward of  -0.12  starting from position  [1, 5]
Episode  270 : the agent has obtained an average reward of  -0.08  starting from position  [7, 2]
Episode  280 : the agent has obtained an average reward of  -0.08  starting from position  [8, 1]
Episode  290 : the agent has obtained an average reward of  -0.14  starting from position  [4, 2]
Episode  300 : the agent has obtained an average reward of  -0.06  starting from position  [2, 9]
Episode  310 : the agent has obtained an average reward of  -0.02  starting from position  [1, 4]
Episode  320 : the agent has obtained an average reward of  -0.02  starting from position  [0, 6]
Episode  330 : the agent has obtained an average reward of  -0.02  starting from position  [5, 6]
Episode  340 : the agent has obtained an average reward of  0.0  starting from position  [7, 5]
Episode  350 : the agent has obtained an average reward of  -0.06  starting from position  [4, 7]
Episode  360 : the agent has obtained an average reward of  -0.04  starting from position  [3, 6]
Episode  370 : the agent has obtained an average reward of  -0.12  starting from position  [3, 0]
Episode  380 : the agent has obtained an average reward of  -0.02  starting from position  [0, 7]
Episode  390 : the agent has obtained an average reward of  0.0  starting from position  [0, 9]
Episode  400 : the agent has obtained an average reward of  -0.06  starting from position  [3, 4]
Episode  410 : the agent has obtained an average reward of  0.06  starting from position  [0, 6]
Episode  420 : the agent has obtained an average reward of  -0.08  starting from position  [1, 6]
Episode  430 : the agent has obtained an average reward of  -0.1  starting from position  [4, 9]
Episode  440 : the agent has obtained an average reward of  -0.1  starting from position  [7, 8]
Episode  450 : the agent has obtained an average reward of  -0.06  starting from position  [0, 2]
Episode  460 : the agent has obtained an average reward of  -0.1  starting from position  [6, 9]
Episode  470 : the agent has obtained an average reward of  0.0  starting from position  [0, 2]
Episode  480 : the agent has obtained an average reward of  -0.08  starting from position  [3, 6]
Episode  490 : the agent has obtained an average reward of  0.0  starting from position  [1, 2]
Episode  500 : the agent has obtained an average reward of  -0.02  starting from position  [1, 1]
Episode  510 : the agent has obtained an average reward of  -0.06  starting from position  [4, 0]
Episode  520 : the agent has obtained an average reward of  -0.02  starting from position  [3, 3]
Episode  530 : the agent has obtained an average reward of  0.18  starting from position  [5, 4]
Episode  540 : the agent has obtained an average reward of  -0.1  starting from position  [0, 0]
Episode  550 : the agent has obtained an average reward of  -0.04  starting from position  [3, 6]
Episode  560 : the agent has obtained an average reward of  -0.06  starting from position  [6, 0]
